ATCC8482_locus_tag	CL09_locus_tag	ATCC8482_gene	CL09_gene	ATCC8482_product	CL09_product	forward_bitscore	reverse_bitscore	forward_pident	reverse_pident	forward_qcovs	reverse_qcovs
JJAGMNAF_00613	BHNFMJIF_02234			TonB-dependent receptor P3	TonB-dependent receptor P3	1964.0	1964.0	99.901	99.901	100.0	100.0
JJAGMNAF_00614	BHNFMJIF_02233			hypothetical protein	hypothetical protein	65.1	65.1	100.0	100.0	100.0	100.0
JJAGMNAF_00615	BHNFMJIF_02232	xynC	xynC	Glucuronoxylanase XynC	Glucuronoxylanase XynC	1014.0	1015.0	99.603	99.603	100.0	100.0
JJAGMNAF_00616	BHNFMJIF_02231	rhaS_4	rhaS_4	HTH-type transcriptional activator RhaS	HTH-type transcriptional activator RhaS	581.0	581.0	100.0	100.0	100.0	100.0
JJAGMNAF_00617	BHNFMJIF_02230	proC	proC	Pyrroline-5-carboxylate reductase	Pyrroline-5-carboxylate reductase	491.0	491.0	100.0	100.0	100.0	100.0
JJAGMNAF_00618	BHNFMJIF_02229	lysJ	argD	[LysW]-aminoadipate semialdehyde transaminase	Acetylornithine aminotransferase	721.0	721.0	99.465	99.465	100.0	100.0
JJAGMNAF_00619	BHNFMJIF_02228	argC	argC	N-acetyl-gamma-glutamyl-phosphate reductase	N-acetyl-gamma-glutamyl-phosphate reductase	574.0	574.0	99.674	99.674	95.0	95.0
JJAGMNAF_00620	BHNFMJIF_02227	argG	argG	Argininosuccinate synthase	Argininosuccinate synthase	830.0	830.0	100.0	100.0	100.0	100.0
JJAGMNAF_00621	BHNFMJIF_02226			hypothetical protein	hypothetical protein	387.0	387.0	100.0	100.0	100.0	100.0
JJAGMNAF_00622	BHNFMJIF_02225	argR	argR	Arginine repressor	Arginine repressor	325.0	325.0	100.0	100.0	100.0	100.0
JJAGMNAF_00623	BHNFMJIF_02224	rhaB	rhaB	L-Rhamnulokinase	L-Rhamnulokinase	1025.0	1025.0	99.593	99.593	100.0	100.0
JJAGMNAF_00624	BHNFMJIF_02223	rhaA	rhaA	L-rhamnose isomerase	L-rhamnose isomerase	874.0	874.0	100.0	100.0	100.0	100.0
JJAGMNAF_00625	BHNFMJIF_02222	rhaT	rhaT	L-rhamnose-proton symporter	L-rhamnose-proton symporter	635.0	635.0	100.0	100.0	96.0	96.0
JJAGMNAF_00626	BHNFMJIF_02221	rhaD	rhaD	Rhamnulose-1-phosphate aldolase	Rhamnulose-1-phosphate aldolase	562.0	562.0	100.0	100.0	100.0	100.0
JJAGMNAF_00627	BHNFMJIF_02218			hypothetical protein	hypothetical protein	278.0	278.0	99.394	99.394	100.0	100.0
JJAGMNAF_00628	BHNFMJIF_02216	lnbX	lnbX	Lacto-N-biosidase	Lacto-N-biosidase	1012.0	984.0	99.603	99.603	100.0	100.0
JJAGMNAF_00629	BHNFMJIF_02215			SusD-like protein P25	SusD-like protein P25	1095.0	1095.0	100.0	100.0	100.0	100.0
JJAGMNAF_00630	BHNFMJIF_02214			TonB-dependent receptor P3	TonB-dependent receptor P3	2089.0	2089.0	100.0	100.0	100.0	100.0
JJAGMNAF_00631	BHNFMJIF_02213	rcsC_8	rcsC_19	Sensor histidine kinase RcsC	Sensor histidine kinase RcsC	2818.0	2818.0	99.928	99.928	100.0	100.0
JJAGMNAF_00632	BHNFMJIF_02212	rhaS_5	rhaS_3	HTH-type transcriptional activator RhaS	HTH-type transcriptional activator RhaS	617.0	617.0	100.0	100.0	97.0	97.0
JJAGMNAF_00633	BHNFMJIF_02211			hypothetical protein	hypothetical protein	664.0	664.0	99.699	99.699	100.0	100.0
JJAGMNAF_00634	BHNFMJIF_02210			hypothetical protein	hypothetical protein	556.0	556.0	100.0	100.0	100.0	100.0
JJAGMNAF_00635	BHNFMJIF_02209	lacZ_5	lacZ_11	Beta-galactosidase	Beta-galactosidase	2135.0	2135.0	99.903	99.903	100.0	100.0
JJAGMNAF_00636	BHNFMJIF_02208			hypothetical protein	hypothetical protein	1756.0	1756.0	99.766	99.766	100.0	100.0
JJAGMNAF_00637	BHNFMJIF_02207			hypothetical protein	hypothetical protein	364.0	364.0	100.0	100.0	100.0	100.0
JJAGMNAF_00638	BHNFMJIF_02206			hypothetical protein	hypothetical protein	624.0	623.0	98.512	98.512	100.0	100.0
JJAGMNAF_00639	BHNFMJIF_02205			Glycosyl hydrolase family 109 protein 1	Glycosyl hydrolase family 109 protein 1	867.0	867.0	99.758	99.758	100.0	100.0
JJAGMNAF_00640	BHNFMJIF_02204			Beta-1,4-mannooligosaccharide phosphorylase	Beta-1,4-mannooligosaccharide phosphorylase	694.0	694.0	100.0	100.0	100.0	100.0
JJAGMNAF_00641	BHNFMJIF_02203	ampG_1	ampG_2	Anhydromuropeptide permease	Anhydromuropeptide permease	861.0	861.0	98.38	98.38	100.0	100.0
JJAGMNAF_00648	BHNFMJIF_02202	susB_1	susB_2	Glucan 1,4-alpha-glucosidase SusB	Glucan 1,4-alpha-glucosidase SusB	1303.0	1303.0	99.106	99.106	100.0	100.0
JJAGMNAF_00649	BHNFMJIF_02201			hypothetical protein	hypothetical protein	564.0	564.0	100.0	100.0	100.0	100.0
JJAGMNAF_00650	BHNFMJIF_02200			hypothetical protein	hypothetical protein	1201.0	1201.0	99.66	99.66	100.0	100.0
JJAGMNAF_00651	BHNFMJIF_02199	susC_6	susC_10	TonB-dependent receptor SusC	TonB-dependent receptor SusC	2301.0	2301.0	99.559	99.559	100.0	100.0
JJAGMNAF_00652	BHNFMJIF_02198			hypothetical protein	hypothetical protein	121.0	121.0	100.0	100.0	100.0	100.0
JJAGMNAF_00653	BHNFMJIF_02197			hypothetical protein	hypothetical protein	1610.0	1610.0	100.0	100.0	100.0	100.0
JJAGMNAF_00654	BHNFMJIF_02196			hypothetical protein	hypothetical protein	1543.0	1543.0	100.0	100.0	100.0	100.0
JJAGMNAF_00655	BHNFMJIF_02195			hypothetical protein	hypothetical protein	677.0	677.0	100.0	100.0	100.0	100.0
JJAGMNAF_00656	BHNFMJIF_02194	fliA	fliA	RNA polymerase sigma factor FliA	RNA polymerase sigma factor FliA	349.0	349.0	100.0	100.0	100.0	100.0
JJAGMNAF_00657	BHNFMJIF_02193			hypothetical protein	hypothetical protein	1548.0	1548.0	99.865	99.865	100.0	100.0
JJAGMNAF_00658	BHNFMJIF_02192			hypothetical protein	hypothetical protein	464.0	464.0	99.567	99.567	100.0	100.0
JJAGMNAF_00660	BHNFMJIF_02190			hypothetical protein	hypothetical protein	561.0	561.0	100.0	100.0	100.0	100.0
JJAGMNAF_00661	BHNFMJIF_02189			hypothetical protein	hypothetical protein	281.0	281.0	99.259	99.259	100.0	100.0
JJAGMNAF_00662	BHNFMJIF_02188	clpS	clpS	ATP-dependent Clp protease adapter protein ClpS	ATP-dependent Clp protease adapter protein ClpS	216.0	216.0	99.065	99.065	100.0	100.0
JJAGMNAF_00663	BHNFMJIF_02187	clpA	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	1432.0	1432.0	99.865	99.865	100.0	100.0
JJAGMNAF_00664	BHNFMJIF_02186	aat	aat	Leucyl/phenylalanyl-tRNA--protein transferase	Leucyl/phenylalanyl-tRNA--protein transferase	454.0	454.0	100.0	100.0	100.0	100.0
JJAGMNAF_00665	BHNFMJIF_02185			hypothetical protein	hypothetical protein	541.0	541.0	99.642	99.642	100.0	100.0
JJAGMNAF_00666	BHNFMJIF_02184	mdtK_1	mdtK_2	Multidrug resistance protein MdtK	Multidrug resistance protein MdtK	813.0	813.0	99.767	99.767	100.0	100.0
JJAGMNAF_00667	BHNFMJIF_02183			hypothetical protein	hypothetical protein	404.0	404.0	99.485	99.485	100.0	100.0
JJAGMNAF_00668	BHNFMJIF_02182			hypothetical protein	hypothetical protein	533.0	533.0	99.219	99.219	100.0	100.0
JJAGMNAF_00669	BHNFMJIF_02181			hypothetical protein	hypothetical protein	1110.0	1110.0	99.813	99.813	100.0	100.0
JJAGMNAF_00700	BHNFMJIF_02012			hypothetical protein	hypothetical protein	145.0	112.0	83.133	84.615	93.0	76.0
JJAGMNAF_00760	BHNFMJIF_02178			hypothetical protein	hypothetical protein	551.0	552.0	96.727	96.727	99.0	96.0
JJAGMNAF_00761	BHNFMJIF_02177			hypothetical protein	hypothetical protein	680.0	680.0	99.71	99.71	100.0	100.0
JJAGMNAF_00762	BHNFMJIF_02176			hypothetical protein	hypothetical protein	965.0	965.0	99.792	99.792	100.0	100.0
JJAGMNAF_00763	BHNFMJIF_02175			TonB-dependent receptor P3	TonB-dependent receptor P3	2180.0	2180.0	100.0	100.0	100.0	100.0
JJAGMNAF_00764	BHNFMJIF_02174			hypothetical protein	hypothetical protein	597.0	597.0	99.398	99.398	100.0	100.0
JJAGMNAF_00765	BHNFMJIF_02173	sigW_2	sigW_5	ECF RNA polymerase sigma factor SigW	ECF RNA polymerase sigma factor SigW	404.0	404.0	100.0	100.0	100.0	100.0
JJAGMNAF_00766	BHNFMJIF_02172	agaA	agaA	Alpha-galactosidase AgaA	Alpha-galactosidase AgaA	1475.0	1476.0	99.861	99.861	100.0	100.0
JJAGMNAF_00786	BHNFMJIF_02171			hypothetical protein	hypothetical protein	2404.0	2404.0	99.654	99.654	100.0	100.0
JJAGMNAF_00787	BHNFMJIF_02170			hypothetical protein	hypothetical protein	764.0	764.0	100.0	100.0	100.0	100.0
JJAGMNAF_00789	BHNFMJIF_02168	dhaT	dhaT	1,3-propanediol dehydrogenase	1,3-propanediol dehydrogenase	779.0	779.0	99.744	99.744	100.0	100.0
JJAGMNAF_00790	BHNFMJIF_02167			hypothetical protein	hypothetical protein	478.0	478.0	100.0	100.0	100.0	100.0
JJAGMNAF_00791	BHNFMJIF_02166			TonB-dependent receptor P39	TonB-dependent receptor P39	2258.0	2258.0	100.0	100.0	100.0	100.0
JJAGMNAF_00792	BHNFMJIF_02165			SusD-like protein P38	SusD-like protein P38	1083.0	1083.0	100.0	100.0	100.0	100.0
JJAGMNAF_00796	BHNFMJIF_02164			hypothetical protein	hypothetical protein	285.0	285.0	100.0	100.0	99.0	91.0
JJAGMNAF_00799	BHNFMJIF_02163			O-acetyl-L-homoserine sulfhydrylase	O-acetyl-L-homoserine sulfhydrylase	893.0	893.0	100.0	100.0	100.0	100.0
JJAGMNAF_00800	BHNFMJIF_02162			putative oxidoreductase	putative oxidoreductase	497.0	497.0	99.587	99.587	100.0	100.0
JJAGMNAF_00801	BHNFMJIF_02161			hypothetical protein	hypothetical protein	334.0	334.0	99.39	99.39	100.0	100.0
JJAGMNAF_00802	BHNFMJIF_02160	sigG	sigG	ECF RNA polymerase sigma factor SigG	ECF RNA polymerase sigma factor SigG	345.0	345.0	99.412	99.412	100.0	100.0
JJAGMNAF_00803	BHNFMJIF_02159			hypothetical protein	hypothetical protein	313.0	313.0	98.864	98.864	100.0	100.0
JJAGMNAF_00804	BHNFMJIF_02158			hypothetical protein	hypothetical protein	306.0	306.0	100.0	100.0	100.0	100.0
JJAGMNAF_00805	BHNFMJIF_02157			hypothetical protein	hypothetical protein	419.0	419.0	99.552	99.552	100.0	100.0
JJAGMNAF_00806	BHNFMJIF_02156	mutS_1	mutS_2	DNA mismatch repair protein MutS	DNA mismatch repair protein MutS	1239.0	1239.0	99.666	99.666	100.0	100.0
JJAGMNAF_00807	BHNFMJIF_02155			hypothetical protein	hypothetical protein	369.0	369.0	100.0	100.0	100.0	100.0
JJAGMNAF_00808	BHNFMJIF_02154			hypothetical protein	hypothetical protein	270.0	270.0	100.0	100.0	100.0	100.0
JJAGMNAF_00809	BHNFMJIF_02153	rplQ	rplQ	Large ribosomal subunit protein bL17	Large ribosomal subunit protein bL17	229.0	229.0	100.0	100.0	75.0	75.0
JJAGMNAF_00810	BHNFMJIF_02152	rpoA	rpoA	DNA-directed RNA polymerase subunit alpha	DNA-directed RNA polymerase subunit alpha	667.0	667.0	100.0	100.0	100.0	100.0
JJAGMNAF_00811	BHNFMJIF_02151	rpsD	rpsD	Small ribosomal subunit protein uS4	Small ribosomal subunit protein uS4	411.0	411.0	100.0	100.0	100.0	100.0
JJAGMNAF_00812	BHNFMJIF_02150	rpsK	rpsK	Small ribosomal subunit protein uS11	Small ribosomal subunit protein uS11	266.0	266.0	100.0	100.0	100.0	100.0
JJAGMNAF_00813	BHNFMJIF_02149	rpsM	rpsM	Small ribosomal subunit protein uS13	Small ribosomal subunit protein uS13	221.0	221.0	100.0	100.0	87.0	87.0
JJAGMNAF_00814	BHNFMJIF_02148	rpmJ	rpmJ	Large ribosomal subunit protein bL36	Large ribosomal subunit protein bL36	76.3	76.3	100.0	100.0	100.0	100.0
JJAGMNAF_00815	BHNFMJIF_02147	infA	infA	Translation initiation factor IF-1	Translation initiation factor IF-1	149.0	149.0	100.0	100.0	100.0	100.0
JJAGMNAF_00816	BHNFMJIF_02146	map_1	map_1	Methionine aminopeptidase 1	Methionine aminopeptidase 1	548.0	548.0	100.0	100.0	100.0	100.0
JJAGMNAF_00817	BHNFMJIF_02145	secY	secY	Protein translocase subunit SecY	Protein translocase subunit SecY	811.0	811.0	100.0	100.0	100.0	100.0
JJAGMNAF_00818	BHNFMJIF_02144	rplO	rplO	Large ribosomal subunit protein uL15	Large ribosomal subunit protein uL15	260.0	260.0	100.0	100.0	100.0	100.0
JJAGMNAF_00819	BHNFMJIF_02143	rpmD	rpmD	Large ribosomal subunit protein uL30	Large ribosomal subunit protein uL30	115.0	115.0	100.0	100.0	100.0	100.0
JJAGMNAF_00820	BHNFMJIF_02142	rpsE	rpsE	Small ribosomal subunit protein uS5	Small ribosomal subunit protein uS5	314.0	314.0	100.0	100.0	100.0	100.0
JJAGMNAF_00821	BHNFMJIF_02141	rplR	rplR	Large ribosomal subunit protein uL18	Large ribosomal subunit protein uL18	230.0	230.0	100.0	100.0	100.0	100.0
JJAGMNAF_00822	BHNFMJIF_02140	rplF	rplF	Large ribosomal subunit protein uL6	Large ribosomal subunit protein uL6	385.0	385.0	100.0	100.0	100.0	100.0
JJAGMNAF_00823	BHNFMJIF_02139	rpsH	rpsH	Small ribosomal subunit protein uS8	Small ribosomal subunit protein uS8	263.0	263.0	100.0	100.0	100.0	100.0
JJAGMNAF_00824	BHNFMJIF_02138	rpsN	rpsN	Small ribosomal subunit protein uS14	Small ribosomal subunit protein uS14	200.0	200.0	100.0	100.0	100.0	100.0
JJAGMNAF_00825	BHNFMJIF_02137	rplE	rplE	Large ribosomal subunit protein uL5	Large ribosomal subunit protein uL5	373.0	373.0	100.0	100.0	100.0	100.0
JJAGMNAF_00826	BHNFMJIF_02136	rplX	rplX	Large ribosomal subunit protein uL24	Large ribosomal subunit protein uL24	213.0	213.0	100.0	100.0	100.0	100.0
JJAGMNAF_00827	BHNFMJIF_02135	rplN	rplN	Large ribosomal subunit protein uL14	Large ribosomal subunit protein uL14	193.0	193.0	100.0	100.0	100.0	100.0
JJAGMNAF_00828	BHNFMJIF_02134	rpsQ	rpsQ	Small ribosomal subunit protein uS17	Small ribosomal subunit protein uS17	174.0	174.0	100.0	100.0	100.0	100.0
JJAGMNAF_00829	BHNFMJIF_02133	rpmC	rpmC	Large ribosomal subunit protein uL29	Large ribosomal subunit protein uL29	127.0	127.0	100.0	100.0	100.0	100.0
JJAGMNAF_00830	BHNFMJIF_02132	rplP	rplP	Large ribosomal subunit protein uL16	Large ribosomal subunit protein uL16	290.0	290.0	100.0	100.0	100.0	100.0
JJAGMNAF_00831	BHNFMJIF_02131	rpsC	rpsC	Small ribosomal subunit protein uS3	Small ribosomal subunit protein uS3	451.0	451.0	100.0	100.0	91.0	91.0
JJAGMNAF_00832	BHNFMJIF_02130			hypothetical protein	hypothetical protein	278.0	278.0	100.0	100.0	100.0	100.0
JJAGMNAF_00833	BHNFMJIF_02129	rpsS	rpsS	Small ribosomal subunit protein uS19	Small ribosomal subunit protein uS19	182.0	182.0	100.0	100.0	100.0	100.0
JJAGMNAF_00834	BHNFMJIF_02128	rplB	rplB	Large ribosomal subunit protein uL2	Large ribosomal subunit protein uL2	554.0	554.0	100.0	100.0	100.0	100.0
JJAGMNAF_00835	BHNFMJIF_02127	rplW	rplW	Large ribosomal subunit protein uL23	Large ribosomal subunit protein uL23	190.0	190.0	100.0	100.0	100.0	100.0
JJAGMNAF_00836	BHNFMJIF_02126	rplD	rplD	Large ribosomal subunit protein uL4	Large ribosomal subunit protein uL4	384.0	384.0	100.0	100.0	100.0	100.0
JJAGMNAF_00837	BHNFMJIF_02125	rplC	rplC	Large ribosomal subunit protein uL3	Large ribosomal subunit protein uL3	391.0	391.0	100.0	100.0	100.0	100.0
JJAGMNAF_00838	BHNFMJIF_02124	rpsJ	rpsJ	Small ribosomal subunit protein uS10	Small ribosomal subunit protein uS10	203.0	203.0	100.0	100.0	100.0	100.0
JJAGMNAF_00839	BHNFMJIF_02123	fusA_2	fusA_1	Elongation factor G	Elongation factor G	1398.0	1398.0	100.0	100.0	100.0	100.0
JJAGMNAF_00840	BHNFMJIF_02122	rpsG	rpsG	Small ribosomal subunit protein uS7	Small ribosomal subunit protein uS7	307.0	309.0	99.329	100.0	100.0	94.0
JJAGMNAF_00841	BHNFMJIF_02121	rpsL	rpsL	Small ribosomal subunit protein uS12	Small ribosomal subunit protein uS12	236.0	236.0	100.0	100.0	85.0	85.0
JJAGMNAF_00842	BHNFMJIF_02120			hypothetical protein	hypothetical protein	232.0	232.0	100.0	100.0	100.0	100.0
JJAGMNAF_00844	BHNFMJIF_02119	rpoC	rpoC	DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase subunit beta'	2860.0	2860.0	100.0	100.0	100.0	100.0
JJAGMNAF_00845	BHNFMJIF_02118	rpoB	rpoB	DNA-directed RNA polymerase subunit beta RpoB	DNA-directed RNA polymerase subunit beta RpoB	2513.0	2513.0	99.921	99.921	100.0	100.0
JJAGMNAF_00846	BHNFMJIF_02117	rplL	rplL	Large ribosomal subunit protein bL12	Large ribosomal subunit protein bL12	189.0	189.0	100.0	100.0	100.0	100.0
JJAGMNAF_00847	BHNFMJIF_02116	rplJ	rplJ	Large ribosomal subunit protein uL10	Large ribosomal subunit protein uL10	350.0	350.0	100.0	100.0	100.0	100.0
JJAGMNAF_00848	BHNFMJIF_02115	rplA	rplA	Large ribosomal subunit protein uL1	Large ribosomal subunit protein uL1	443.0	443.0	100.0	100.0	100.0	100.0
JJAGMNAF_00849	BHNFMJIF_02114	rplK	rplK	Large ribosomal subunit protein uL11	Large ribosomal subunit protein uL11	300.0	300.0	100.0	100.0	100.0	100.0
JJAGMNAF_00850	BHNFMJIF_02113	nusG_1	nusG_2	Transcription termination/antitermination protein NusG	Transcription termination/antitermination protein NusG	332.0	332.0	100.0	100.0	100.0	100.0
JJAGMNAF_00851	BHNFMJIF_02112	secE	secE	Protein translocase subunit SecE	Protein translocase subunit SecE	94.7	94.7	100.0	100.0	100.0	100.0
JJAGMNAF_00853	BHNFMJIF_02110	tufA	tufA	Elongation factor Tu	Elongation factor Tu	730.0	730.0	100.0	100.0	100.0	100.0
JJAGMNAF_00858	BHNFMJIF_02105	hpf	hpf	Ribosome hibernation promoting factor	Ribosome hibernation promoting factor	198.0	198.0	100.0	100.0	100.0	100.0
JJAGMNAF_00859	BHNFMJIF_02104	xerC_3	xerC_14	Tyrosine recombinase XerC	Tyrosine recombinase XerC	528.0	528.0	100.0	100.0	100.0	100.0
JJAGMNAF_00860	BHNFMJIF_02103	rpsU	rpsU	Small ribosomal subunit protein bS21	Small ribosomal subunit protein bS21	95.1	95.1	100.0	100.0	100.0	100.0
JJAGMNAF_00861	BHNFMJIF_02102			hypothetical protein	hypothetical protein	1213.0	1213.0	99.835	99.835	100.0	100.0
JJAGMNAF_00862	BHNFMJIF_02101			Carbonic anhydrase	Carbonic anhydrase	325.0	325.0	100.0	100.0	100.0	100.0
JJAGMNAF_00863	BHNFMJIF_02100			hypothetical protein	hypothetical protein	331.0	331.0	100.0	100.0	100.0	100.0
JJAGMNAF_00864	BHNFMJIF_02099			hypothetical protein	hypothetical protein	660.0	660.0	99.686	99.686	100.0	100.0
JJAGMNAF_00865	BHNFMJIF_02098	trcR_1	trcR_3	Transcriptional regulatory protein TrcR	Transcriptional regulatory protein TrcR	476.0	476.0	100.0	100.0	100.0	100.0
JJAGMNAF_00866	BHNFMJIF_02097	sasA_3	sasA_5	Adaptive-response sensory-kinase SasA	Adaptive-response sensory-kinase SasA	954.0	954.0	100.0	100.0	100.0	100.0
JJAGMNAF_00867	BHNFMJIF_02096			hypothetical protein	hypothetical protein	1587.0	1587.0	100.0	100.0	100.0	100.0
JJAGMNAF_00868	BHNFMJIF_02095			hypothetical protein	hypothetical protein	1086.0	1086.0	99.819	99.819	100.0	100.0
JJAGMNAF_00869	BHNFMJIF_02094	deoK_1	ydjH	Deoxyribokinase	putative sugar kinase YdjH	656.0	656.0	99.39	99.39	100.0	100.0
JJAGMNAF_00872	BHNFMJIF_02092	rcsC_11	rcsC_18	Sensor histidine kinase RcsC	Sensor histidine kinase RcsC	2732.0	2732.0	99.926	99.926	100.0	100.0
JJAGMNAF_00873	BHNFMJIF_02091			hypothetical protein	hypothetical protein	1034.0	1034.0	99.8	99.8	100.0	100.0
JJAGMNAF_00874	BHNFMJIF_02090			TonB-dependent receptor P3	TonB-dependent receptor P3	2016.0	2016.0	99.901	99.901	100.0	100.0
JJAGMNAF_00875	BHNFMJIF_02089			SusD-like protein P2	SusD-like protein P2	1128.0	1128.0	100.0	100.0	100.0	100.0
JJAGMNAF_00876	BHNFMJIF_02088			hypothetical protein	hypothetical protein	1051.0	1051.0	99.812	99.812	100.0	100.0
JJAGMNAF_00877	BHNFMJIF_02087			hypothetical protein	hypothetical protein	1079.0	1079.0	99.616	99.616	100.0	100.0
JJAGMNAF_00878	BHNFMJIF_02086	cytR	cytR	HTH-type transcriptional repressor CytR	HTH-type transcriptional repressor CytR	705.0	705.0	100.0	100.0	100.0	100.0
JJAGMNAF_00879	BHNFMJIF_02085	ahpF	ahpF	Alkyl hydroperoxide reductase subunit F	Alkyl hydroperoxide reductase subunit F	984.0	984.0	99.031	99.031	100.0	100.0
JJAGMNAF_00880	BHNFMJIF_02084	ahpC	ahpC	Alkyl hydroperoxide reductase C	Alkyl hydroperoxide reductase C	389.0	389.0	99.468	99.468	100.0	100.0
JJAGMNAF_00881	BHNFMJIF_02083	corA_1	corA_2	Cobalt/magnesium transport protein CorA	Cobalt/magnesium transport protein CorA	588.0	588.0	99.349	99.349	100.0	100.0
JJAGMNAF_00882	BHNFMJIF_02082			hypothetical protein	hypothetical protein	731.0	766.0	98.744	98.744	100.0	100.0
JJAGMNAF_00883	BHNFMJIF_02081			hypothetical protein	hypothetical protein	945.0	945.0	99.142	99.142	100.0	100.0
JJAGMNAF_00884	BHNFMJIF_02080	btuB_2	btuB_7	Vitamin B12 transporter BtuB	Vitamin B12 transporter BtuB	1527.0	1527.0	99.869	99.869	96.0	100.0
JJAGMNAF_00885	BHNFMJIF_02079	tag		DNA-3-methyladenine glycosylase 1	hypothetical protein	295.0	295.0	90.446	90.446	76.0	88.0
JJAGMNAF_00887	BHNFMJIF_03573			hypothetical protein	hypothetical protein	664.0	664.0	99.701	99.701	100.0	100.0
JJAGMNAF_00890	BHNFMJIF_02074	gpr	gpr	L-glyceraldehyde 3-phosphate reductase	L-glyceraldehyde 3-phosphate reductase	631.0	631.0	100.0	100.0	100.0	100.0
JJAGMNAF_00891	BHNFMJIF_02073	argH	argH	Argininosuccinate lyase	Argininosuccinate lyase	927.0	927.0	99.776	99.776	100.0	100.0
JJAGMNAF_00892	BHNFMJIF_02072			hypothetical protein	hypothetical protein	274.0	274.0	100.0	100.0	100.0	100.0
JJAGMNAF_00893	BHNFMJIF_02071	pyrE	pyrE	Orotate phosphoribosyltransferase	Orotate phosphoribosyltransferase	397.0	397.0	100.0	100.0	91.0	91.0
JJAGMNAF_00894	BHNFMJIF_02070			hypothetical protein	hypothetical protein	476.0	476.0	99.13	99.13	100.0	100.0
JJAGMNAF_00895	BHNFMJIF_02069	recX	recX	Regulatory protein RecX	Regulatory protein RecX	326.0	326.0	98.758	98.758	100.0	100.0
JJAGMNAF_00896	BHNFMJIF_02068	prmC	prmC	Release factor glutamine methyltransferase	Release factor glutamine methyltransferase	564.0	564.0	99.281	99.281	100.0	100.0
JJAGMNAF_00897	BHNFMJIF_02067	ribD	ribD	Riboflavin biosynthesis protein RibD	Riboflavin biosynthesis protein RibD	722.0	722.0	99.429	99.429	100.0	100.0
JJAGMNAF_00898	BHNFMJIF_02066			hypothetical protein	hypothetical protein	931.0	891.0	99.57	99.57	100.0	100.0
JJAGMNAF_00899	BHNFMJIF_02065	uppS	uppS	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	508.0	508.0	100.0	100.0	100.0	100.0
JJAGMNAF_00902	BHNFMJIF_02063			hypothetical protein	hypothetical protein	244.0	234.0	99.415	99.415	100.0	100.0
JJAGMNAF_00903	BHNFMJIF_02062			hypothetical protein	hypothetical protein	256.0	256.0	100.0	100.0	92.0	92.0
JJAGMNAF_00904	BHNFMJIF_02061	murI	murI	Glutamate racemase	Glutamate racemase	578.0	578.0	100.0	100.0	100.0	97.0
JJAGMNAF_00905	BHNFMJIF_02060	pdxK	pdxK	Pyridoxine/pyridoxal/pyridoxamine kinase	Pyridoxine/pyridoxal/pyridoxamine kinase	595.0	595.0	98.966	98.966	100.0	100.0
JJAGMNAF_00906	BHNFMJIF_02059	lolE_1	lolE_1	Lipoprotein-releasing system transmembrane protein LolE	Lipoprotein-releasing system transmembrane protein LolE	743.0	708.0	99.515	99.515	100.0	100.0
JJAGMNAF_00907	BHNFMJIF_02058	rbfA	rbfA	Ribosome-binding factor A	Ribosome-binding factor A	222.0	222.0	100.0	100.0	100.0	100.0
JJAGMNAF_00908	BHNFMJIF_02057			Catechol O-methyltransferase	Catechol O-methyltransferase	437.0	437.0	100.0	100.0	100.0	100.0
JJAGMNAF_00909	BHNFMJIF_02056	pyk	pyk	Pyruvate kinase	Pyruvate kinase	967.0	967.0	100.0	100.0	100.0	100.0
JJAGMNAF_00910	BHNFMJIF_02055	aroQ	aroQ	3-dehydroquinate dehydratase	3-dehydroquinate dehydratase	287.0	287.0	99.286	99.286	100.0	100.0
JJAGMNAF_00911	BHNFMJIF_02054	xerD_1	xerD_1	Tyrosine recombinase XerD	Tyrosine recombinase XerD	636.0	636.0	100.0	100.0	100.0	100.0
JJAGMNAF_00912	BHNFMJIF_02053			hypothetical protein	hypothetical protein	1020.0	1020.0	100.0	100.0	100.0	100.0
JJAGMNAF_00913	BHNFMJIF_02052			hypothetical protein	hypothetical protein	652.0	652.0	100.0	100.0	100.0	100.0
JJAGMNAF_00914	BHNFMJIF_02051	comM	comM	Competence protein ComM	Competence protein ComM	1051.0	1051.0	100.0	100.0	100.0	100.0
JJAGMNAF_00915	BHNFMJIF_02050			hypothetical protein	hypothetical protein	77.0	77.0	100.0	100.0	100.0	100.0
JJAGMNAF_00916	BHNFMJIF_02049	metG	metG	Methionine--tRNA ligase	Methionine--tRNA ligase	1377.0	1377.0	100.0	100.0	100.0	100.0
JJAGMNAF_00917	BHNFMJIF_02048			hypothetical protein	hypothetical protein	930.0	930.0	100.0	100.0	100.0	100.0
JJAGMNAF_00918	BHNFMJIF_02047			hypothetical protein	hypothetical protein	623.0	623.0	100.0	100.0	100.0	100.0
JJAGMNAF_00919	BHNFMJIF_02046			hypothetical protein	hypothetical protein	569.0	569.0	99.638	99.638	100.0	100.0
