locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJAGMNAF_00824	CDS	300	rpsN			Small ribosomal subunit protein uS14
JJAGMNAF_00825	CDS	558	rplE		COG0094	Large ribosomal subunit protein uL5
JJAGMNAF_00826	CDS	324	rplX		COG0198	Large ribosomal subunit protein uL24
JJAGMNAF_00827	CDS	366	rplN		COG0093	Large ribosomal subunit protein uL14
JJAGMNAF_00828	CDS	258	rpsQ			Small ribosomal subunit protein uS17
JJAGMNAF_00829	CDS	195	rpmC		COG0255	Large ribosomal subunit protein uL29
JJAGMNAF_00830	CDS	435	rplP		COG0197	Large ribosomal subunit protein uL16
JJAGMNAF_00831	CDS	732	rpsC		COG0092	Small ribosomal subunit protein uS3
JJAGMNAF_00832	CDS	411				hypothetical protein
JJAGMNAF_00833	CDS	270	rpsS			Small ribosomal subunit protein uS19
JJAGMNAF_00834	CDS	822	rplB		COG0090	Large ribosomal subunit protein uL2
JJAGMNAF_00835	CDS	291	rplW		COG0089	Large ribosomal subunit protein uL23
JJAGMNAF_00836	CDS	627	rplD			Large ribosomal subunit protein uL4
JJAGMNAF_00837	CDS	618	rplC		COG0087	Large ribosomal subunit protein uL3
JJAGMNAF_00838	CDS	306	rpsJ		COG0051	Small ribosomal subunit protein uS10
JJAGMNAF_00839	CDS	2118	fusA_2			Elongation factor G
JJAGMNAF_00840	CDS	450	rpsG			Small ribosomal subunit protein uS7
JJAGMNAF_00841	CDS	414	rpsL			Small ribosomal subunit protein uS12
JJAGMNAF_00842	CDS	342				hypothetical protein
JJAGMNAF_00843	CDS	1656				IS1182 family transposase ISBthe2
JJAGMNAF_00844	CDS	4287	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
JJAGMNAF_00845	CDS	3813	rpoB			DNA-directed RNA polymerase subunit beta RpoB
JJAGMNAF_00846	CDS	375	rplL			Large ribosomal subunit protein bL12
JJAGMNAF_00847	CDS	519	rplJ			Large ribosomal subunit protein uL10
JJAGMNAF_00848	CDS	699	rplA			Large ribosomal subunit protein uL1
JJAGMNAF_00849	CDS	444	rplK		COG0080	Large ribosomal subunit protein uL11
JJAGMNAF_00850	CDS	543	nusG_1		COG0250	Transcription termination/antitermination protein NusG
JJAGMNAF_00851	CDS	195	secE			Protein translocase subunit SecE
JJAGMNAF_00852	tRNA	74				tRNA-Trp(cca)
JJAGMNAF_00853	CDS	1185	tufA	3.6.5.3		Elongation factor Tu
JJAGMNAF_00854	tRNA	73				tRNA-Thr(ggt)
JJAGMNAF_00855	tRNA	74				tRNA-Gly(tcc)
JJAGMNAF_00856	tRNA	84				tRNA-Tyr(gta)
JJAGMNAF_00857	tRNA	75				tRNA-Thr(tgt)
JJAGMNAF_00858	CDS	300	hpf		COG1544	Ribosome hibernation promoting factor
JJAGMNAF_00859	CDS	882	xerC_3		COG4974	Tyrosine recombinase XerC
JJAGMNAF_00860	CDS	192	rpsU			Small ribosomal subunit protein bS21
JJAGMNAF_00861	CDS	1818				hypothetical protein
JJAGMNAF_00862	CDS	525		4.2.1.1	COG0663	Carbonic anhydrase
JJAGMNAF_00863	CDS	492				hypothetical protein
JJAGMNAF_00864	CDS	957				hypothetical protein
JJAGMNAF_00865	CDS	702	trcR_1		COG0745	Transcriptional regulatory protein TrcR
JJAGMNAF_00866	CDS	1386	sasA_3	2.7.13.3		Adaptive-response sensory-kinase SasA
JJAGMNAF_00867	CDS	2298				hypothetical protein
JJAGMNAF_00868	CDS	1665				hypothetical protein
JJAGMNAF_00869	CDS	987	deoK_1	2.7.1.15		Deoxyribokinase
JJAGMNAF_00870	tRNA	75				tRNA-Asn(gtt)
JJAGMNAF_00871	tRNA	75				tRNA-Asn(gtt)
JJAGMNAF_00872	CDS	4041	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_00873	CDS	1500				hypothetical protein
JJAGMNAF_00874	CDS	3039			COG4771	TonB-dependent receptor P3
JJAGMNAF_00875	CDS	1632			COG0702	SusD-like protein P2
JJAGMNAF_00876	CDS	1599				hypothetical protein
JJAGMNAF_00877	CDS	1566				hypothetical protein
JJAGMNAF_00878	CDS	1023	cytR		COG1609	HTH-type transcriptional repressor CytR
JJAGMNAF_00879	CDS	1551	ahpF	1.8.1.-		Alkyl hydroperoxide reductase subunit F
JJAGMNAF_00880	CDS	567	ahpC	1.11.1.26		Alkyl hydroperoxide reductase C
JJAGMNAF_00881	CDS	924	corA_1		COG0598	Cobalt/magnesium transport protein CorA
JJAGMNAF_00882	CDS	1197				hypothetical protein
JJAGMNAF_00883	CDS	1401				hypothetical protein
JJAGMNAF_00884	CDS	2388	btuB_2			Vitamin B12 transporter BtuB
JJAGMNAF_00885	CDS	621	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
JJAGMNAF_00886	CDS	351				hypothetical protein
JJAGMNAF_00887	CDS	1005				hypothetical protein
JJAGMNAF_00888	tRNA	86				tRNA-Leu(taa)
JJAGMNAF_00889	tRNA	74				tRNA-Gly(gcc)
JJAGMNAF_00890	CDS	993	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
JJAGMNAF_00891	CDS	1341	argH	4.3.2.1	COG0165	Argininosuccinate lyase
JJAGMNAF_00892	CDS	405				hypothetical protein
JJAGMNAF_00893	CDS	639	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
JJAGMNAF_00894	CDS	693				hypothetical protein
JJAGMNAF_00895	CDS	486	recX			Regulatory protein RecX
JJAGMNAF_00896	CDS	837	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
JJAGMNAF_00897	CDS	1053	ribD		COG0117	Riboflavin biosynthesis protein RibD
JJAGMNAF_00898	CDS	1398				hypothetical protein
JJAGMNAF_00899	CDS	732	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
JJAGMNAF_00900	CDS	1803	bamA_2			Outer membrane protein assembly factor BamA
JJAGMNAF_00901	CDS	876	bamA_3			Outer membrane protein assembly factor BamA
JJAGMNAF_00902	CDS	516				hypothetical protein
JJAGMNAF_00903	CDS	504				hypothetical protein
JJAGMNAF_00904	CDS	846	murI	5.1.1.3		Glutamate racemase
JJAGMNAF_00905	CDS	873	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
JJAGMNAF_00906	CDS	1239	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
JJAGMNAF_00907	CDS	336	rbfA			Ribosome-binding factor A
JJAGMNAF_00908	CDS	639		2.1.1.6	COG4122	Catechol O-methyltransferase
JJAGMNAF_00909	CDS	1464	pyk	2.7.1.40		Pyruvate kinase
JJAGMNAF_00910	CDS	423	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
JJAGMNAF_00911	CDS	942	xerD_1			Tyrosine recombinase XerD
JJAGMNAF_00912	CDS	1677				hypothetical protein
JJAGMNAF_00913	CDS	1068				hypothetical protein
JJAGMNAF_00914	CDS	1539	comM		COG0606	Competence protein ComM
JJAGMNAF_00915	CDS	168				hypothetical protein
JJAGMNAF_00916	CDS	2043	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
JJAGMNAF_00917	CDS	1437				hypothetical protein
JJAGMNAF_00918	CDS	1026				hypothetical protein
JJAGMNAF_00919	CDS	831				hypothetical protein
JJAGMNAF_00920	CDS	1806	frbH			CMP-5'-(3-aminopropyl)phosphonate synthase
JJAGMNAF_00921	CDS	1101				hypothetical protein
JJAGMNAF_00922	CDS	798				hypothetical protein
JJAGMNAF_00923	CDS	1017				hypothetical protein
JJAGMNAF_00924	CDS	1116				hypothetical protein
JJAGMNAF_00925	CDS	1263	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JJAGMNAF_00926	CDS	747				hypothetical protein
JJAGMNAF_00927	CDS	2493				hypothetical protein
JJAGMNAF_00928	CDS	696	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
JJAGMNAF_00929	CDS	486	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
JJAGMNAF_00930	CDS	270	rpsO			Small ribosomal subunit protein uS15
JJAGMNAF_00931	CDS	300				hypothetical protein
JJAGMNAF_00932	CDS	246				hypothetical protein
JJAGMNAF_00933	CDS	2115				hypothetical protein
JJAGMNAF_00934	CDS	1104				hypothetical protein
JJAGMNAF_00935	CDS	1047				hypothetical protein
JJAGMNAF_00936	CDS	684				hypothetical protein
JJAGMNAF_00937	CDS	510				hypothetical protein
JJAGMNAF_00938	CDS	1614				IS66 family transposase ISBvu4
JJAGMNAF_00939	CDS	1071				hypothetical protein
JJAGMNAF_00940	CDS	1461				hypothetical protein
JJAGMNAF_00941	CDS	570				hypothetical protein
JJAGMNAF_00942	CDS	606				hypothetical protein
JJAGMNAF_00943	CDS	360				hypothetical protein
JJAGMNAF_00944	CDS	453				hypothetical protein
JJAGMNAF_00945	CDS	1095				hypothetical protein
JJAGMNAF_00946	CDS	918	dnaG_2	2.7.7.101		DNA primase
JJAGMNAF_00947	CDS	438				hypothetical protein
JJAGMNAF_00948	CDS	276				hypothetical protein
JJAGMNAF_00949	CDS	117				hypothetical protein
JJAGMNAF_00950	CDS	345				hypothetical protein
JJAGMNAF_00951	CDS	294				hypothetical protein
JJAGMNAF_00952	CDS	444				hypothetical protein
JJAGMNAF_00953	CDS	219				hypothetical protein
JJAGMNAF_00954	CDS	267				hypothetical protein
JJAGMNAF_00955	CDS	285				hypothetical protein
JJAGMNAF_00956	CDS	555				hypothetical protein
JJAGMNAF_00957	CDS	2064				hypothetical protein
JJAGMNAF_00958	CDS	867				hypothetical protein
JJAGMNAF_00959	CDS	933				hypothetical protein
JJAGMNAF_00960	CDS	1590				hypothetical protein
JJAGMNAF_00961	CDS	798				hypothetical protein
JJAGMNAF_00962	CDS	321				hypothetical protein
JJAGMNAF_00963	CDS	2421				hypothetical protein
JJAGMNAF_00964	CDS	522				hypothetical protein
JJAGMNAF_00965	CDS	774				hypothetical protein
JJAGMNAF_00966	CDS	624				hypothetical protein
JJAGMNAF_00967	CDS	972				hypothetical protein
JJAGMNAF_00968	CDS	456				hypothetical protein
JJAGMNAF_00969	CDS	183				hypothetical protein
JJAGMNAF_00970	CDS	432				hypothetical protein
JJAGMNAF_00971	CDS	201				hypothetical protein
JJAGMNAF_00972	CDS	168				hypothetical protein
JJAGMNAF_00973	CDS	132				hypothetical protein
JJAGMNAF_00974	CDS	234				hypothetical protein
JJAGMNAF_00975	CDS	438				hypothetical protein
JJAGMNAF_00976	CDS	1155				hypothetical protein
JJAGMNAF_00977	CDS	561				hypothetical protein
JJAGMNAF_00978	CDS	342				hypothetical protein
JJAGMNAF_00979	CDS	420				hypothetical protein
JJAGMNAF_00980	CDS	1062				hypothetical protein
JJAGMNAF_00981	CDS	549				hypothetical protein
JJAGMNAF_00982	CDS	954				hypothetical protein
JJAGMNAF_00983	CDS	3426			COG1629	TonB-dependent receptor P26
JJAGMNAF_00984	CDS	1914				hypothetical protein
JJAGMNAF_00985	CDS	1353				hypothetical protein
JJAGMNAF_00986	CDS	2910				hypothetical protein
JJAGMNAF_00987	CDS	1647		3.2.1.-	COG0673	Glycosyl hydrolase family 109 protein 1
JJAGMNAF_00988	CDS	1815				hypothetical protein
JJAGMNAF_00989	CDS	279				hypothetical protein
JJAGMNAF_00990	CDS	735	soj_1	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
JJAGMNAF_00991	CDS	243				hypothetical protein
JJAGMNAF_00992	CDS	852				hypothetical protein
JJAGMNAF_00993	CDS	96				hypothetical protein
JJAGMNAF_00994	CDS	270				hypothetical protein
JJAGMNAF_00995	CDS	408				hypothetical protein
JJAGMNAF_00996	CDS	3096	susC_7		COG1629	TonB-dependent receptor SusC
JJAGMNAF_00997	CDS	1638			COG0702	SusD-like protein P25
JJAGMNAF_00998	CDS	405				hypothetical protein
JJAGMNAF_00999	CDS	1356				hypothetical protein
JJAGMNAF_01000	CDS	3462				hypothetical protein
JJAGMNAF_01001	CDS	321				hypothetical protein
JJAGMNAF_01002	CDS	1605				hypothetical protein
JJAGMNAF_01003	CDS	951				hypothetical protein
JJAGMNAF_01004	CDS	543				hypothetical protein
JJAGMNAF_01005	CDS	948				hypothetical protein
JJAGMNAF_01006	CDS	246				hypothetical protein
JJAGMNAF_01007	CDS	1521				hypothetical protein
JJAGMNAF_01008	CDS	798				IS21 family transposase ISBf1
JJAGMNAF_01009	CDS	4137	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_01010	CDS	1803	bipA	3.6.5.-	COG1217	Large ribosomal subunit assembly factor BipA
JJAGMNAF_01011	CDS	633				hypothetical protein
JJAGMNAF_01012	CDS	1608	pckA_1	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
JJAGMNAF_01013	CDS	660	upp_1	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
JJAGMNAF_01014	CDS	1005	korB_1	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
JJAGMNAF_01015	CDS	1848	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
JJAGMNAF_01016	tRNA	73				tRNA-Arg(cct)
JJAGMNAF_01017	CDS	1191	kbl_1	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
JJAGMNAF_01018	CDS	954				putative epimerase/dehydratase
JJAGMNAF_01019	CDS	282				hypothetical protein
JJAGMNAF_01020	CDS	1608	pckA_2	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
JJAGMNAF_01021	CDS	660	upp_2	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
JJAGMNAF_01022	CDS	1005	korB_2	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
JJAGMNAF_01023	CDS	1848	korA_2	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
JJAGMNAF_01024	tRNA	73				tRNA-Arg(cct)
JJAGMNAF_01025	CDS	1191	kbl_2	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
JJAGMNAF_01026	CDS	954				putative epimerase/dehydratase
JJAGMNAF_01027	CDS	1065	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
JJAGMNAF_01028	CDS	2988				hypothetical protein
JJAGMNAF_01029	CDS	2088	dcp_1	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
JJAGMNAF_01030	CDS	1080				hypothetical protein
JJAGMNAF_01031	CDS	894				hypothetical protein
JJAGMNAF_01032	CDS	678				hypothetical protein
JJAGMNAF_01033	CDS	273	hup_1			DNA-binding protein HU
JJAGMNAF_01034	CDS	3342	lacZ_7	3.2.1.23	COG3250	Beta-galactosidase
JJAGMNAF_01035	CDS	471				hypothetical protein
JJAGMNAF_01036	CDS	1017	mnmA_2	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
JJAGMNAF_01037	CDS	1563		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
JJAGMNAF_01038	CDS	1980		3.2.1.55		Extracellular exo-alpha-L-arabinofuranosidase
JJAGMNAF_01039	CDS	1536		3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase
JJAGMNAF_01040	CDS	4227	rcsC_13	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_01041	CDS	1929		3.2.1.22	COG4948	Retaining alpha-galactosidase
JJAGMNAF_01042	CDS	3210	susC_8		COG1629	TonB-dependent receptor SusC
JJAGMNAF_01043	CDS	1752			COG0702	SusD-like protein P2
JJAGMNAF_01044	CDS	1779				hypothetical protein
JJAGMNAF_01045	CDS	1884				hypothetical protein
JJAGMNAF_01046	CDS	1482	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
JJAGMNAF_01047	CDS	1533	cmdF	5.4.3.6		Tyrosine 2,3-aminomutase
JJAGMNAF_01048	CDS	729	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JJAGMNAF_01049	CDS	1230	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
JJAGMNAF_01050	CDS	252	acpP_1			Acyl carrier protein
JJAGMNAF_01051	CDS	885	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
JJAGMNAF_01052	CDS	1071	sfmM2	2.1.1.304		L-tyrosine C(3)-methyltransferase
JJAGMNAF_01053	CDS	438				hypothetical protein
JJAGMNAF_01054	CDS	444		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
JJAGMNAF_01055	CDS	1731				hypothetical protein
JJAGMNAF_01056	CDS	258	acpP_2			Acyl carrier protein
JJAGMNAF_01057	CDS	1191	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
JJAGMNAF_01058	CDS	954				hypothetical protein
JJAGMNAF_01059	CDS	855				hypothetical protein
JJAGMNAF_01060	CDS	693		3.5.1.104		Peptidoglycan-N-acetylglucosamine deacetylase
JJAGMNAF_01061	CDS	636	lolA			Outer-membrane lipoprotein carrier protein
JJAGMNAF_01062	CDS	543				hypothetical protein
JJAGMNAF_01063	CDS	381				hypothetical protein
JJAGMNAF_01064	CDS	285				hypothetical protein
JJAGMNAF_01065	CDS	1185				hypothetical protein
JJAGMNAF_01066	CDS	1194				hypothetical protein
JJAGMNAF_01067	CDS	3855	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
JJAGMNAF_01068	CDS	1491				hypothetical protein
JJAGMNAF_01069	CDS	1665				hypothetical protein
JJAGMNAF_01070	CDS	1296		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
JJAGMNAF_01071	CDS	576				hypothetical protein
JJAGMNAF_01072	CDS	2424	rcsC_14	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_01073	CDS	99				hypothetical protein
JJAGMNAF_01074	CDS	822				hypothetical protein
JJAGMNAF_01075	CDS	810				hypothetical protein
JJAGMNAF_01076	CDS	1923				hypothetical protein
JJAGMNAF_01077	CDS	1539				hypothetical protein
JJAGMNAF_01078	CDS	1011	pfkA2	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 2
JJAGMNAF_01079	CDS	963	rssB			Regulator of RpoS
JJAGMNAF_01080	CDS	3165	sasA_4	2.7.13.3		Adaptive-response sensory-kinase SasA
JJAGMNAF_01081	CDS	3168			COG4771	TonB-dependent receptor P3
JJAGMNAF_01082	CDS	2049				hypothetical protein
JJAGMNAF_01083	CDS	1437		3.1.6.-	COG3119	Endo-4-O-sulfatase
JJAGMNAF_01084	CDS	1386				hypothetical protein
JJAGMNAF_01085	CDS	2076				hypothetical protein
JJAGMNAF_01086	CDS	1554	atsA_3	3.1.6.1		Arylsulfatase
JJAGMNAF_01087	CDS	927	rnc	3.1.26.3		Ribonuclease 3
JJAGMNAF_01088	CDS	1266	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
JJAGMNAF_01089	CDS	237	acpP_3			Acyl carrier protein
JJAGMNAF_01090	CDS	579	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
JJAGMNAF_01091	CDS	546				hypothetical protein
JJAGMNAF_01092	CDS	3039	susC_9		COG1629	TonB-dependent receptor SusC
JJAGMNAF_01093	CDS	1704				hypothetical protein
JJAGMNAF_01094	CDS	510				hypothetical protein
JJAGMNAF_01095	CDS	804				hypothetical protein
JJAGMNAF_01096	CDS	2655				hypothetical protein
JJAGMNAF_01097	CDS	966				hypothetical protein
JJAGMNAF_01098	CDS	120				hypothetical protein
JJAGMNAF_01099	CDS	1026	pdxB	1.1.1.290		Erythronate-4-phosphate dehydrogenase
JJAGMNAF_01100	CDS	1032				hypothetical protein
JJAGMNAF_01101	CDS	924	lpxL_2	2.3.1.241		Lipid A biosynthesis lauroyltransferase
JJAGMNAF_01102	CDS	1107	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
JJAGMNAF_01103	CDS	717				hypothetical protein
JJAGMNAF_01104	CDS	753				hypothetical protein
JJAGMNAF_01105	CDS	900	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
JJAGMNAF_01106	CDS	912				hypothetical protein
JJAGMNAF_01107	CDS	894				hypothetical protein
JJAGMNAF_01108	CDS	1179	pglH_1	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
JJAGMNAF_01109	CDS	915				hypothetical protein
JJAGMNAF_01110	CDS	1839		7.6.2.-		Putative multidrug export ATP-binding/permease protein
JJAGMNAF_01111	tRNA	99				tRNA-Arg(ccg)
JJAGMNAF_01112	CDS	990				hypothetical protein
JJAGMNAF_01113	CDS	2028	mdoB	2.7.8.20		Phosphoglycerol transferase I
JJAGMNAF_01114	CDS	966		2.4.-.-	COG0463	putative glycosyltransferase
JJAGMNAF_01115	CDS	375				hypothetical protein
JJAGMNAF_01116	CDS	1725	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
JJAGMNAF_01117	CDS	1827				hypothetical protein
JJAGMNAF_01118	CDS	627	rnhA	3.1.26.4	COG0328	Ribonuclease H
JJAGMNAF_01119	CDS	1821	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
JJAGMNAF_01120	CDS	126				hypothetical protein
JJAGMNAF_01121	CDS	3087			COG4771	TonB-dependent receptor P3
JJAGMNAF_01122	CDS	1551				hypothetical protein
JJAGMNAF_01123	CDS	1263	ubiU	1.97.1.15		Ubiquinone biosynthesis hydroxylase UbiU
JJAGMNAF_01124	CDS	990	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
JJAGMNAF_01125	CDS	852				hypothetical protein
JJAGMNAF_01126	CDS	537				hypothetical protein
JJAGMNAF_01127	CDS	444				hypothetical protein
JJAGMNAF_01128	CDS	1047		1.1.1.51		3-beta-hydroxysteroid dehydrogenase
JJAGMNAF_01129	CDS	942	mneP		COG0053	Manganese efflux system protein MneP
JJAGMNAF_01130	CDS	2148	rnr	3.1.13.1	COG0557	Ribonuclease R
JJAGMNAF_01131	CDS	129				hypothetical protein
JJAGMNAF_01132	CDS	909	srpH	2.3.1.30	COG1045	Serine acetyltransferase, plasmid
JJAGMNAF_01133	CDS	192				hypothetical protein
JJAGMNAF_01134	CDS	123				hypothetical protein
JJAGMNAF_01135	CDS	1449	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
JJAGMNAF_01136	CDS	2214	ptpA_1	3.4.14.12	COG0823	Prolyl tripeptidyl peptidase
JJAGMNAF_01137	CDS	1269	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
JJAGMNAF_01138	CDS	906				hypothetical protein
JJAGMNAF_01139	CDS	468				hypothetical protein
JJAGMNAF_01140	CDS	684	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
JJAGMNAF_01141	CDS	3009				hypothetical protein
JJAGMNAF_01142	CDS	498				hypothetical protein
JJAGMNAF_01143	CDS	174				hypothetical protein
JJAGMNAF_01144	CDS	906	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein PsaA
JJAGMNAF_01145	CDS	768	uup_1	3.6.1.-		ATP-binding protein Uup
JJAGMNAF_01146	CDS	3405				hypothetical protein
JJAGMNAF_01147	CDS	612	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
JJAGMNAF_01148	CDS	1173				hypothetical protein
JJAGMNAF_01149	CDS	804	kduD	1.1.1.127	COG1028	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
JJAGMNAF_01150	CDS	843	kduI_1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
JJAGMNAF_01151	CDS	1401	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
JJAGMNAF_01152	CDS	1341	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
JJAGMNAF_01153	CDS	414				hypothetical protein
JJAGMNAF_01154	CDS	411				hypothetical protein
JJAGMNAF_01155	CDS	561				hypothetical protein
JJAGMNAF_01156	CDS	1581	nadB	1.4.3.16		L-aspartate oxidase
JJAGMNAF_01157	CDS	1728				hypothetical protein
JJAGMNAF_01158	CDS	1356				hypothetical protein
JJAGMNAF_01159	CDS	2142				hypothetical protein
JJAGMNAF_01160	CDS	2313				hypothetical protein
JJAGMNAF_01161	CDS	2040				hypothetical protein
JJAGMNAF_01162	CDS	3336	susC_10		COG1629	TonB-dependent receptor SusC
JJAGMNAF_01163	CDS	177				hypothetical protein
JJAGMNAF_01164	CDS	2244	ptpA_2	3.4.14.12	COG0823	Prolyl tripeptidyl peptidase
JJAGMNAF_01165	CDS	2406				hypothetical protein
JJAGMNAF_01166	CDS	2403				hypothetical protein
JJAGMNAF_01167	CDS	2724				hypothetical protein
JJAGMNAF_01168	CDS	2265				hypothetical protein
JJAGMNAF_01169	CDS	1011				hypothetical protein
JJAGMNAF_01170	CDS	1680				hypothetical protein
JJAGMNAF_01171	CDS	3030	susC_11		COG1629	TonB-dependent receptor SusC
JJAGMNAF_01172	CDS	2436				hypothetical protein
JJAGMNAF_01173	CDS	612	pinR	3.1.22.-	COG1961	Serine recombinase PinR
JJAGMNAF_01174	CDS	600				hypothetical protein
JJAGMNAF_01175	CDS	3045	susC_12		COG1629	TonB-dependent receptor SusC
JJAGMNAF_01176	CDS	1620				hypothetical protein
JJAGMNAF_01177	CDS	3357				hypothetical protein
JJAGMNAF_01178	CDS	3987	rcsC_15	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_01179	CDS	579	rbr		COG1592	Rubrerythrin
JJAGMNAF_01180	CDS	270				hypothetical protein
JJAGMNAF_01181	CDS	1683	dauA		COG0659	C4-dicarboxylic acid transporter DauA
JJAGMNAF_01182	CDS	150				hypothetical protein
JJAGMNAF_01183	CDS	777				hypothetical protein
JJAGMNAF_01184	CDS	2073				hypothetical protein
JJAGMNAF_01185	CDS	507				hypothetical protein
JJAGMNAF_01186	CDS	537	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
JJAGMNAF_01187	CDS	2319				hypothetical protein
JJAGMNAF_01188	CDS	993	nadA	2.5.1.72		Quinolinate synthase
JJAGMNAF_01189	CDS	126				hypothetical protein
JJAGMNAF_01190	CDS	582		3.6.1.66		dITP/XTP pyrophosphatase
JJAGMNAF_01191	CDS	528		2.3.1.-		Acetyltransferase
JJAGMNAF_01192	CDS	897				hypothetical protein
JJAGMNAF_01193	CDS	2835	leuS	6.1.1.4		Leucine--tRNA ligase
JJAGMNAF_01194	CDS	141				hypothetical protein
JJAGMNAF_01195	CDS	3984	rcsC_16	2.7.13.3		Sensor histidine kinase RcsC
JJAGMNAF_01196	CDS	2439		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
JJAGMNAF_01197	CDS	3054			COG4771	TonB-dependent receptor P3
JJAGMNAF_01198	CDS	1782				hypothetical protein
JJAGMNAF_01199	CDS	3225	tri1_1	3.4.21.-	COG0793	Tricorn protease 
JJAGMNAF_01200	CDS	588	algU_2			RNA polymerase sigma-H factor
JJAGMNAF_01201	CDS	1011				hypothetical protein
JJAGMNAF_01202	CDS	3528	susC_13		COG1629	TonB-dependent receptor SusC
JJAGMNAF_01203	CDS	1923				hypothetical protein
JJAGMNAF_01204	CDS	1422	atsA_4	3.1.6.1		Arylsulfatase
JJAGMNAF_01205	CDS	1527		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
JJAGMNAF_01206	CDS	1593	vmlR		COG0488	Ribosome protection protein VmlR
